t,x,y,z,fx,fy,fz
18.990000,1.548278,0.124861,1.600000,0.000000,0.000000,0.000000
19.000000,1.550000,0.125000,1.600000,0.000000,0.000000,0.000000
19.010000,1.551722,0.125139,1.600000,0.000000,0.000000,0.000000
19.020000,1.553444,0.125278,1.600000,0.000000,0.000000,0.000000
19.030000,1.555167,0.125417,1.600000,0.000000,0.000000,0.000000
19.040000,1.556889,0.125556,1.600000,0.000000,0.000000,0.000000
19.050000,1.558611,0.125694,1.600000,0.000000,0.000000,0.000000
19.060000,1.560333,0.125833,1.600000,0.000000,0.000000,0.000000
19.070000,1.562056,0.125972,1.600000,0.000000,0.000000,0.000000
19.080000,1.563778,0.126111,1.600000,0.000000,0.000000,0.000000
19.090000,1.565500,0.126250,1.600000,0.000000,0.000000,0.000000
19.100000,1.567222,0.126389,1.600000,0.000000,0.000000,0.000000
19.110000,1.568944,0.126528,1.600000,0.000000,0.000000,0.000000
19.120000,1.570667,0.126667,1.600000,0.000000,0.000000,0.000000
19.130000,1.572389,0.126806,1.600000,0.000000,0.000000,0.000000
19.140000,1.574111,0.126944,1.600000,0.000000,0.000000,0.000000
19.150000,1.575833,0.127083,1.600000,0.000000,0.000000,0.000000
19.160000,1.577556,0.127222,1.600000,0.000000,0.000000,0.000000
19.170000,1.579278,0.127361,1.600000,0.000000,0.000000,0.000000
19.180000,1.581000,0.127500,1.600000,0.000000,0.000000,0.000000
19.190000,1.582722,0.127639,1.600000,0.000000,0.000000,0.000000
19.200000,1.584444,0.127778,1.600000,0.000000,0.000000,0.000000
19.210000,1.586167,0.127917,1.600000,0.000000,0.000000,0.000000
19.220000,1.587889,0.128056,1.600000,0.000000,0.000000,0.000000
19.230000,1.589611,0.128194,1.600000,0.000000,0.000000,0.000000
19.240000,1.591333,0.128333,1.600000,0.000000,0.000000,0.000000
19.250000,1.593056,0.128472,1.600000,0.000000,0.000000,0.000000
19.260000,1.594778,0.128611,1.600000,0.000000,0.000000,0.000000
19.270000,1.596500,0.128750,1.600000,0.000000,0.000000,0.000000
19.280000,1.598222,0.128889,1.600000,0.000000,0.000000,0.000000
19.290000,1.599944,0.129028,1.600000,0.000000,0.000000,0.000000
19.300000,1.601667,0.129167,1.600000,0.000000,0.000000,0.000000
19.310000,1.603389,0.129306,1.600000,0.000000,0.000000,0.000000
19.320000,1.605111,0.129444,1.600000,0.000000,0.000000,0.000000
19.330000,1.606833,0.129583,1.600000,0.000000,0.000000,0.000000
19.340000,1.608556,0.129722,1.600000,0.000000,0.000000,0.000000
19.350000,1.610278,0.129861,1.600000,0.000000,0.000000,0.000000
19.360000,1.612000,0.130000,1.600000,0.000000,0.000000,0.000000
19.370000,1.613722,0.130139,1.600000,0.000000,0.000000,0.000000
19.380000,1.615444,0.130278,1.600000,0.000000,0.000000,0.000000
19.390000,1.617167,0.130417,1.600000,0.000000,0.000000,0.000000
19.400000,1.618889,0.130556,1.600000,0.000000,0.000000,0.000000
19.410000,1.620611,0.130694,1.600000,0.000000,0.000000,0.000000
19.420000,1.622333,0.130833,1.600000,0.000000,0.000000,0.000000
19.430000,1.624056,0.130972,1.600000,0.000000,0.000000,0.000000
19.440000,1.625778,0.131111,1.600000,0.000000,0.000000,0.000000
19.450000,1.627500,0.131250,1.600000,0.000000,0.000000,0.000000
19.460000,1.629222,0.131389,1.600000,0.000000,0.000000,0.000000
19.470000,1.630944,0.131528,1.600000,0.000000,0.000000,0.000000
19.480000,1.632667,0.131667,1.600000,0.000000,0.000000,0.000000
19.490000,1.634389,0.131806,1.600000,0.000000,0.000000,0.000000
19.500000,1.636111,0.131944,1.600000,0.000000,0.000000,0.000000
19.510000,1.637833,0.132083,1.600000,0.000000,0.000000,0.000000
19.520000,1.639556,0.132222,1.600000,0.000000,0.000000,0.000000
